# u v
0.000000 0.000000
0.000000 0.000000
0.000000 0.005100
0.000000 0.005100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.000000
0.000000 0.010100
0.000000 0.010100
0.000000 0.000000
0.000000 0.000000
0.000000 0.010100
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.020200
0.000000 0.015200
0.000000 0.020200
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.030300
0.000000 0.035400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.040400
0.000000 0.045500
0.000000 0.045500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.050500
0.000000 0.055600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.060600
0.000000 0.070700
0.000000 0.070700
0.000000 0.070700
0.000000 0.070700
0.000000 0.065700
0.000000 0.070700
0.000000 0.070700
0.000000 0.065700
0.000000 0.070700
0.000000 0.070700
0.000000 0.065700
0.000000 0.070700
0.000000 0.070700
0.000000 0.065700
0.000000 0.070700
0.000000 0.070700
0.000000 0.070700
0.000000 0.070700
0.000000 0.070700
0.000000 0.070700
0.000000 0.075800
0.000000 0.075800
0.000000 0.075800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.080800
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.090900
0.000000 0.096000
0.000000 0.096000
0.000000 0.101000
0.000000 0.101000
0.000000 0.101000
0.000000 0.096000
0.000000 0.101000
0.000000 0.101000
0.000000 0.101000
0.000000 0.096000
0.000000 0.101000
0.000000 0.101000
0.000000 0.096000
0.000000 0.101000
0.000000 0.101000
0.000000 0.096000
0.000000 0.101000
0.000000 0.101000
0.000000 0.101000
0.000000 0.101000
0.000000 0.101000
0.000000 0.106100
0.000000 0.106100
0.000000 0.106100
0.000000 0.111100
0.000000 0.111100
0.000000 0.111100
0.000000 0.111100
0.000000 0.106100
0.000000 0.111100
0.000000 0.111100
0.000000 0.106100
0.000000 0.111100
0.000000 0.111100
0.000000 0.106100
0.000000 0.111100
0.000000 0.111100
0.000000 0.106100
0.000000 0.111100
0.000000 0.111100
0.000000 0.111100
0.000000 0.111100
0.000000 0.116200
0.000000 0.116200
0.000000 0.116200
0.000000 0.116200
0.000000 0.121200
0.000000 0.121200
0.000000 0.121200
0.000000 0.121200
0.000000 0.116200
0.000000 0.121200
0.000000 0.121200
0.000000 0.116200
0.000000 0.121200
0.000000 0.121200
0.000000 0.116200
0.000000 0.121200
0.000000 0.121200
0.000000 0.116200
0.000000 0.121200
0.000000 0.121200
0.000000 0.126300
0.000000 0.126300
0.000000 0.126300
0.000000 0.126300
0.000000 0.131300
0.000000 0.131300
0.000000 0.131300
0.000000 0.131300
0.000000 0.126300
0.000000 0.131300
0.000000 0.131300
0.000000 0.126300
0.000000 0.131300
0.000000 0.131300
0.000000 0.126300
0.000000 0.131300
0.000000 0.131300
0.000000 0.136400
0.000000 0.136400
0.000000 0.136400
0.000000 0.136400
0.000000 0.141400
0.000000 0.141400
0.000000 0.141400
0.000000 0.141400
0.000000 0.136400
0.000000 0.141400
0.000000 0.141400
0.000000 0.136400
0.000000 0.141400
0.000000 0.141400
0.000000 0.146500
0.000000 0.146500
0.000000 0.146500
0.000000 0.146500
0.000000 0.151500
0.000000 0.151500
0.000000 0.151500
0.000000 0.151500
0.000000 0.146500
0.000000 0.151500
0.000000 0.151500
0.000000 0.146500
0.000000 0.151500
0.000000 0.151500
0.000000 0.146500
0.000000 0.151500
0.000000 0.156600
0.000000 0.156600
0.000000 0.156600
0.000000 0.156600
0.000000 0.156600
0.010300 0.000000
0.010300 0.010100
0.010300 0.010100
0.010300 0.000000
0.010300 0.000000
0.010300 0.010100
0.010300 0.000000
0.010300 0.010100
0.010300 0.000000
0.010300 0.010100
0.010300 0.010100
0.010300 0.000000
0.010300 0.000000
0.010300 0.010100
0.010300 0.010100
0.010300 0.000000
0.010300 0.000000
0.010300 0.010100
0.010300 0.000000
0.010300 0.010100
0.010300 0.010100
0.010300 0.000000
0.010300 0.000000
0.010300 0.010100
0.010300 0.010100
0.010300 0.000000
0.010300 0.000000
0.010300 0.010100
0.010300 0.010100
0.010300 0.000000
0.010300 0.005100
